SOURCE_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,OWNER_DESCR,STATE,COUNTY
Sequoia & Kings Canyon National Park,2014,2456868.5,211,1334.0,1,Lightning,2456876.5,219.0,1547.0,NPS,CA,
Sequoia & Kings Canyon National Park,2014,2456871.5,214,1323.0,4,Campfire,2456931.5,274.0,1600.0,NPS,CA,
Sequoia & Kings Canyon National Park,2014,2456880.5,223,1445.0,1,Lightning,2456964.5,307.0,825.0,NPS,CA,
Sequoia & Kings Canyon National Park,2014,2456891.5,234,1447.0,1,Lightning,2456964.5,307.0,826.0,NPS,CA,
Sequoia & Kings Canyon National Park,2014,2456915.5,258,1314.0,5,Debris Burning,2456936.5,279.0,1200.0,NPS,CA,
Sequoia & Kings Canyon National Park,2014,2456921.5,264,948.0,1,Lightning,2456964.5,307.0,827.0,NPS,CA,
Sequoia & Kings Canyon National Park,2014,2456949.5,292,1327.0,4,Campfire,2456964.5,307.0,829.0,NPS,CA,
Mojave National Park,2014,2456865.5,208,1800.0,1,Lightning,2456868.5,211.0,1200.0,NPS,CA,
Mojave National Park,2014,2456870.5,213,1830.0,1,Lightning,2456877.5,220.0,1200.0,NPS,CA,
Northern California District,2014,2456849.5,192,1200.0,13,Missing/Undefined,2456864.5,207.0,1200.0,BLM,CA,Shasta
Northern California District,2014,2456868.5,211,1701.0,1,Lightning,2456882.5,225.0,700.0,BLM,CA,Modoc
Northern California District,2014,2456875.5,218,2224.0,1,Lightning,2456878.5,221.0,700.0,BLM,CA,Modoc
Northern California District,2014,2456935.5,278,1853.0,7,Arson,2456937.5,280.0,1600.0,BLM,CA,Lassen
Point Reyes National Seashore,2014,2456844.5,187,1220.0,1,Lightning,2456849.5,192.0,1300.0,NPS,CA,
Yosemite National Park,2014,2456822.5,165,600.0,9,Miscellaneous,2456824.5,167.0,1419.0,NPS,CA,
Yosemite National Park,2014,2456852.5,195,1733.0,1,Lightning,2456876.5,219.0,1407.0,NPS,CA,
Yosemite National Park,2014,2456853.5,196,1034.0,1,Lightning,2456864.5,207.0,1423.0,NPS,CA,
Yosemite National Park,2014,2456854.5,197,1138.0,1,Lightning,2456916.5,259.0,1348.0,NPS,CA,
Yosemite National Park,2014,2456854.5,197,1148.0,1,Lightning,2456961.5,304.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456854.5,197,1154.0,1,Lightning,2456961.5,304.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456854.5,197,1745.0,1,Lightning,2456927.5,270.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456854.5,197,1247.0,1,Lightning,2456863.5,206.0,1247.0,NPS,CA,
Yosemite National Park,2014,2456855.5,198,1102.0,1,Lightning,2456861.5,204.0,1533.0,NPS,CA,
Yosemite National Park,2014,2456857.5,200,1126.0,1,Lightning,2456864.5,207.0,1448.0,NPS,CA,
Yosemite National Park,2014,2456858.5,201,1621.0,1,Lightning,2456863.5,206.0,1245.0,NPS,CA,
Yosemite National Park,2014,2456858.5,201,1629.0,1,Lightning,2456876.5,219.0,1310.0,NPS,CA,
Yosemite National Park,2014,2456858.5,201,1632.0,1,Lightning,2456860.5,203.0,1724.0,NPS,CA,
Yosemite National Park,2014,2456858.5,201,1635.0,1,Lightning,2456860.5,203.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456858.5,201,1716.0,1,Lightning,2456961.5,304.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456858.5,201,1818.0,1,Lightning,2456965.5,308.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456858.5,201,1917.0,1,Lightning,2456862.5,205.0,1215.0,NPS,CA,
Yosemite National Park,2014,2456859.5,202,1653.0,1,Lightning,2456862.5,205.0,1218.0,NPS,CA,
Yosemite National Park,2014,2456859.5,202,1818.0,1,Lightning,2456876.5,219.0,1338.0,NPS,CA,
Yosemite National Park,2014,2456863.5,206,1100.0,1,Lightning,2456965.5,308.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456864.5,207,930.0,1,Lightning,2456873.5,216.0,1030.0,NPS,CA,
Yosemite National Park,2014,2456864.5,207,1511.0,11,Powerline,2456902.5,245.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456879.5,222,1545.0,1,Lightning,2456884.5,227.0,1130.0,NPS,CA,
Yosemite National Park,2014,2456883.5,226,946.0,1,Lightning,2456924.5,267.0,1152.0,NPS,CA,
Yosemite National Park,2014,2456884.5,227,1047.0,1,Lightning,2456961.5,304.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456916.5,259,1302.0,1,Lightning,2456961.5,304.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456915.5,258,1231.0,4,Campfire,2456920.5,263.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456937.5,280,1439.0,2,Equipment Use,2456963.5,306.0,1800.0,NPS,CA,
Yosemite National Park,2014,2456946.5,289,947.0,4,Campfire,2456948.5,291.0,1100.0,NPS,CA,
Yosemite National Park,2014,2456956.5,299,915.0,13,Missing/Undefined,2456963.5,306.0,1043.0,NPS,CA,
Yosemite National Park,2014,2456971.5,314,1054.0,4,Campfire,2456975.5,318.0,1800.0,NPS,CA,
Lassen-Modoc Unit,2014,2456839.5,182,1652.0,1,Lightning,2456845.5,188.0,1600.0,UNDEFINED FEDERAL,CA,LASSEN
Lassen-Modoc Unit,2014,2456868.5,211,1601.0,1,Lightning,2456870.5,213.0,800.0,UNDEFINED FEDERAL,CA,LASSEN
Mendocino Unit,2014,2456868.5,211,1211.0,1,Lightning,2456874.5,217.0,800.0,UNDEFINED FEDERAL,CA,MENDOCINO
Siskiyou Unit,2014,2456880.5,223,1708.0,1,Lightning,2456882.5,225.0,1703.0,MISSING/NOT SPECIFIED,CA,SISKIYOU
Siskiyou Unit,2014,2456880.5,223,1721.0,1,Lightning,2456882.5,225.0,1704.0,UNDEFINED FEDERAL,CA,SISKIYOU
