SOURCE_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,OWNER_DESCR,STATE,COUNTY
Eldorado National Forest,2004,2453184.5,180,1600.0,1,Lightning,2453189.5,185.0,1400.0,USFS,CA,3.0
Eldorado National Forest,2004,2453184.5,180,1600.0,1,Lightning,2453189.5,185.0,1200.0,USFS,CA,3.0
Eldorado National Forest,2004,2453284.5,280,1415.0,2,Equipment Use,2453299.5,295.0,1000.0,USFS,CA,5.0
Eldorado National Forest,2004,2453291.5,287,1618.0,2,Equipment Use,2453295.5,291.0,1800.0,USFS,CA,17.0
Humboldt-Toiyabe National Forest,2005,2453496.5,126,1145.0,5,Debris Burning,2453499.5,129.0,1330.0,STATE OR PRIVATE,CA,3.0
Los Padres National Forest,2005,2453552.5,182,1330.0,9,Miscellaneous,2453554.5,184.0,1800.0,USFS,CA,
Humboldt-Toiyabe National Forest,2005,2453572.5,202,1700.0,1,Lightning,2453575.5,205.0,1000.0,USFS,CA,51.0
Humboldt-Toiyabe National Forest,2005,2453579.5,209,2000.0,1,Lightning,2453581.5,211.0,300.0,USFS,CA,3.0
Sequoia National Forest,2005,2453571.5,201,1700.0,1,Lightning,2453573.5,203.0,1430.0,USFS,CA,
Sequoia National Forest,2005,2453589.5,219,1530.0,1,Lightning,2453591.5,221.0,600.0,USFS,CA,
Sequoia National Forest,2005,2453589.5,219,1530.0,1,Lightning,2453595.5,225.0,1200.0,USFS,CA,
Tahoe National Forest,2005,2453477.5,107,1200.0,9,Miscellaneous,2453499.5,129.0,1800.0,USFS,CA,
Cleveland National Forest,2005,2453565.5,195,2052.0,4,Campfire,2453567.5,197.0,1800.0,STATE OR PRIVATE,CA,
Cleveland National Forest,2005,2453606.5,236,1110.0,4,Campfire,2453608.5,238.0,1800.0,USFS,CA,
Inyo National Forest,2005,2453615.5,245,1452.0,7,Arson,2453618.5,248.0,1430.0,USFS,CA,
Eldorado National Forest,2005,2453598.5,228,1630.0,1,Lightning,2453600.5,230.0,1800.0,STATE OR PRIVATE,CA,
Eldorado National Forest,2005,2453599.5,229,1020.0,1,Lightning,2453606.5,236.0,1600.0,USFS,CA,
Modoc National Forest,2005,2453587.5,217,1655.0,1,Lightning,2453593.5,223.0,1600.0,USFS,CA,
Mendocino National Forest,2005,2453629.5,259,1435.0,9,Miscellaneous,2453631.5,261.0,1800.0,MISSING/NOT SPECIFIED,CA,
Mendocino National Forest,2005,2453640.5,270,800.0,1,Lightning,2453642.5,272.0,1200.0,STATE OR PRIVATE,CA,
Sequoia National Forest,2005,2453589.5,219,1455.0,2,Equipment Use,2453591.5,221.0,1800.0,STATE OR PRIVATE,CA,
Modoc National Forest,2005,2453587.5,217,1730.0,1,Lightning,2453607.5,237.0,1800.0,USFS,CA,
Modoc National Forest,2005,2453587.5,217,1910.0,1,Lightning,2453593.5,223.0,1230.0,USFS,CA,
Eldorado National Forest,2005,2453599.5,229,1230.0,1,Lightning,2453615.5,245.0,1800.0,USFS,CA,
Eldorado National Forest,2005,2453597.5,227,1759.0,1,Lightning,2453614.5,244.0,1800.0,USFS,CA,
Eldorado National Forest,2005,2453603.5,233,1610.0,1,Lightning,2453614.5,244.0,1800.0,USFS,CA,
Stanislaus National Forest,2005,2453634.5,264,1225.0,1,Lightning,2453636.5,266.0,1800.0,USFS,CA,
Klamath National Forest,2005,2453543.5,173,1815.0,9,Miscellaneous,2453545.5,175.0,1105.0,USFS,CA,
Tahoe National Forest,2005,2453606.5,236,1458.0,9,Miscellaneous,2453622.5,252.0,1300.0,USFS,CA,
Tahoe National Forest,2005,2453665.5,295,2200.0,9,Miscellaneous,2453667.5,297.0,1000.0,STATE OR PRIVATE,CA,
Sequoia National Forest,2005,2453670.5,300,930.0,1,Lightning,2453676.5,306.0,1300.0,USFS,CA,
Sequoia National Forest,2005,2453673.5,303,1425.0,1,Lightning,2453675.5,305.0,950.0,USFS,CA,
Sequoia National Forest,2005,2453575.5,205,1611.0,1,Lightning,2453638.5,268.0,1400.0,USFS,CA,
Sequoia National Forest,2005,2453575.5,205,1451.0,1,Lightning,2453581.5,211.0,1530.0,USFS,CA,
Cleveland National Forest,2005,2453649.5,279,2012.0,4,Campfire,2453653.5,283.0,1800.0,USFS,CA,
Cleveland National Forest,2005,2453527.5,157,1205.0,2,Equipment Use,2453541.5,171.0,1300.0,MISSING/NOT SPECIFIED,CA,
Tahoe National Forest,2005,2453635.5,265,800.0,4,Campfire,2453638.5,268.0,1650.0,USFS,CA,
Sequoia National Forest,2005,2453575.5,205,1451.0,1,Lightning,2453658.5,288.0,1600.0,USFS,CA,
Sequoia National Forest,2005,2453668.5,298,900.0,1,Lightning,2453705.5,335.0,1500.0,USFS,CA,
Inyo National Forest,2005,2453590.5,220,1000.0,1,Lightning,2453592.5,222.0,1130.0,USFS,CA,
Sierra National Forest,2005,2453640.5,270,1013.0,1,Lightning,2453672.5,302.0,1800.0,USFS,CA,
Inyo National Forest,2005,2453572.5,202,1800.0,1,Lightning,2453574.5,204.0,1800.0,USFS,CA,
Inyo National Forest,2005,2453586.5,216,841.0,1,Lightning,2453614.5,244.0,1745.0,USFS,CA,
Inyo National Forest,2005,2453589.5,219,1537.0,1,Lightning,2453614.5,244.0,1745.0,USFS,CA,
Inyo National Forest,2005,2453590.5,220,1153.0,1,Lightning,2453614.5,244.0,1745.0,USFS,CA,
Inyo National Forest,2005,2453591.5,221,1541.0,1,Lightning,2453614.5,244.0,1745.0,USFS,CA,
Inyo National Forest,2005,2453677.5,307,1255.0,1,Lightning,2453706.5,336.0,1200.0,USFS,CA,
Sierra National Forest,2005,2453572.5,202,1550.0,1,Lightning,2453583.5,213.0,1200.0,USFS,CA,
Sierra National Forest,2005,2453572.5,202,1600.0,1,Lightning,2453576.5,206.0,1800.0,USFS,CA,
Sierra National Forest,2005,2453574.5,204,1225.0,1,Lightning,2453580.5,210.0,1800.0,USFS,CA,
Sierra National Forest,2005,2453588.5,218,1245.0,1,Lightning,2453591.5,221.0,1400.0,USFS,CA,
Sierra National Forest,2005,2453668.5,298,1100.0,1,Lightning,2453699.5,329.0,1200.0,USFS,CA,
Six Rivers National Forest,2005,2453617.5,247,1929.0,7,Arson,2453621.5,251.0,1600.0,USFS,CA,
Shasta-Trinity National Forest,2005,2453621.5,251,300.0,1,Lightning,2453623.5,253.0,900.0,USFS,CA,
Shasta-Trinity National Forest,2005,2453688.5,318,815.0,7,Arson,2453690.5,320.0,1400.0,STATE OR PRIVATE,CA,
Shasta-Trinity National Forest,2005,2453692.5,322,1330.0,1,Lightning,2453701.5,331.0,1800.0,STATE OR PRIVATE,CA,
Sierra National Forest,2002,2452468.5,194,1943.0,1,Lightning,2452470.5,196.0,1200.0,USFS,CA,19.0
San Bernardino National Forest,2006,2453864.5,129,955.0,4,Campfire,2453870.5,135.0,1600.0,OTHER FEDERAL,CA,65.0
Lassen National Forest,2006,2453912.5,177,1302.0,1,Lightning,2453914.5,179.0,910.0,USFS,CA,35.0
Humboldt-Toiyabe National Forest,2006,2453915.5,180,2200.0,1,Lightning,2453918.5,183.0,1330.0,USFS,CA,3.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453914.5,179.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453916.5,181.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453914.5,179.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453914.5,179.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453912.5,177,1646.0,1,Lightning,2453916.5,181.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453912.5,177,1710.0,1,Lightning,2453914.5,179.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2135.0,1,Lightning,2453913.5,178.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453913.5,178.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453917.5,182.0,1900.0,USFS,CA,63.0
Plumas National Forest,2006,2453912.5,177,830.0,1,Lightning,2453916.5,181.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453912.5,177,1757.0,1,Lightning,2453917.5,182.0,2100.0,USFS,CA,63.0
Plumas National Forest,2006,2453914.5,179,1753.0,1,Lightning,2453916.5,181.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453915.5,180,1656.0,1,Lightning,2453917.5,182.0,1800.0,USFS,CA,63.0
Humboldt-Toiyabe National Forest,2006,2453918.5,183,1030.0,1,Lightning,2453920.5,185.0,1800.0,USFS,CA,3.0
Humboldt-Toiyabe National Forest,2006,2453924.5,189,1830.0,1,Lightning,2453929.5,194.0,1800.0,USFS,CA,3.0
Humboldt-Toiyabe National Forest,2006,2453925.5,190,1600.0,1,Lightning,2453932.5,197.0,1800.0,USFS,CA,3.0
Inyo National Forest,2006,2453912.5,177,1437.0,1,Lightning,2453916.5,181.0,800.0,MISSING/NOT SPECIFIED,CA,27.0
Humboldt-Toiyabe National Forest,2006,2453933.5,198,1615.0,1,Lightning,2453937.5,202.0,1800.0,USFS,CA,51.0
Angeles National Forest,2006,2453940.5,205,1609.0,1,Lightning,2453942.5,207.0,1600.0,USFS,CA,37.0
Humboldt-Toiyabe National Forest,2006,2453934.5,199,1030.0,1,Lightning,2453936.5,201.0,1600.0,USFS,CA,51.0
Sierra National Forest,2006,2453775.5,40,1200.0,4,Campfire,2453777.5,42.0,1500.0,USFS,CA,39.0
Angeles National Forest,2006,2453938.5,203,1920.0,1,Lightning,2453945.5,210.0,1200.0,USFS,CA,37.0
Sierra National Forest,2006,2453936.5,201,1052.0,1,Lightning,2453945.5,210.0,1430.0,USFS,CA,19.0
Lassen National Forest,2006,2453940.5,205,1300.0,1,Lightning,2453946.5,211.0,1800.0,USFS,CA,93.0
San Bernardino National Forest,2006,2453939.5,204,1334.0,1,Lightning,2453941.5,206.0,1530.0,USFS,CA,65.0
Plumas National Forest,2006,2453913.5,178,1600.0,1,Lightning,2453916.5,181.0,1800.0,USFS,CA,63.0
Klamath National Forest,2006,2453916.5,181,2030.0,1,Lightning,2454040.5,305.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453931.5,196,1600.0,1,Lightning,2454040.5,305.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453939.5,204,2100.0,1,Lightning,2453941.5,206.0,1400.0,USFS,CA,93.0
Klamath National Forest,2006,2453939.5,204,1739.0,1,Lightning,2453943.5,208.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1400.0,1,Lightning,2453942.5,207.0,1223.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1743.0,1,Lightning,2453943.5,208.0,2200.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1316.0,1,Lightning,2454052.5,317.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453942.5,207,1118.0,1,Lightning,2453944.5,209.0,1600.0,USFS,CA,93.0
Klamath National Forest,2006,2453955.5,220,1030.0,1,Lightning,2453958.5,223.0,1200.0,USFS,CA,93.0
Klamath National Forest,2006,2453954.5,219,2000.0,1,Lightning,2453956.5,221.0,1045.0,USFS,CA,93.0
Klamath National Forest,2006,2453954.5,219,1930.0,1,Lightning,2453956.5,221.0,1200.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1316.0,1,Lightning,2453942.5,207.0,1520.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1316.0,1,Lightning,2453960.5,225.0,1700.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1330.0,1,Lightning,2453945.5,210.0,2159.0,USFS,CA,93.0
Klamath National Forest,2006,2453939.5,204,1330.0,1,Lightning,2453959.5,224.0,1200.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1330.0,1,Lightning,2453950.5,215.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453898.5,163,1544.0,1,Lightning,2453900.5,165.0,1830.0,USFS,CA,93.0
Plumas National Forest,2006,2453913.5,178,1713.0,1,Lightning,2453918.5,183.0,1803.0,USFS,CA,63.0
Klamath National Forest,2006,2453914.5,179,805.0,1,Lightning,2453916.5,181.0,1232.0,USFS,CA,93.0
Klamath National Forest,2006,2453914.5,179,1416.0,1,Lightning,2454031.5,296.0,1630.0,USFS,CA,93.0
Klamath National Forest,2006,2453938.5,203,1416.0,4,Campfire,2453941.5,206.0,1300.0,USFS,CA,93.0
Klamath National Forest,2006,2453939.5,204,1744.0,1,Lightning,2453942.5,207.0,1700.0,STATE OR PRIVATE,CA,93.0
Klamath National Forest,2006,2453939.5,204,1904.0,1,Lightning,2453952.5,217.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1532.0,1,Lightning,2453945.5,210.0,1700.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1500.0,1,Lightning,2453945.5,210.0,800.0,USFS,CA,93.0
Klamath National Forest,2006,2453952.5,217,930.0,1,Lightning,2453957.5,222.0,1200.0,USFS,CA,93.0
Klamath National Forest,2006,2453952.5,217,1800.0,1,Lightning,2453955.5,220.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453952.5,217,1600.0,1,Lightning,2453957.5,222.0,1700.0,USFS,CA,93.0
Klamath National Forest,2006,2453953.5,218,1340.0,1,Lightning,2454031.5,296.0,1630.0,USFS,CA,93.0
Klamath National Forest,2006,2453953.5,218,1345.0,1,Lightning,2454031.5,296.0,1630.0,USFS,CA,93.0
Klamath National Forest,2006,2453954.5,219,1445.0,1,Lightning,2453956.5,221.0,800.0,USFS,CA,93.0
Klamath National Forest,2006,2453954.5,219,1445.0,1,Lightning,2453956.5,221.0,800.0,USFS,CA,93.0
Klamath National Forest,2006,2453954.5,219,1000.0,1,Lightning,2453959.5,224.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453954.5,219,1147.0,1,Lightning,2453961.5,226.0,1000.0,USFS,CA,93.0
Klamath National Forest,2006,2453955.5,220,1230.0,1,Lightning,2453958.5,223.0,1420.0,USFS,CA,93.0
Humboldt-Toiyabe National Forest,2006,2453909.5,174,1716.0,1,Lightning,2453911.5,176.0,1800.0,USFS,CA,3.0
Humboldt-Toiyabe National Forest,2006,2453954.5,219,1100.0,1,Lightning,2454013.5,278.0,1800.0,USFS,CA,3.0
Humboldt-Toiyabe National Forest,2006,2453952.5,217,1500.0,1,Lightning,2453997.5,262.0,1800.0,USFS,CA,3.0
Lassen National Forest,2006,2453941.5,206,800.0,1,Lightning,2453947.5,212.0,1800.0,USFS,CA,89.0
Los Padres National Forest,2006,2453925.5,190,1636.0,9,Miscellaneous,2453928.5,193.0,1800.0,STATE OR PRIVATE,CA,29.0
Los Padres National Forest,2006,2453937.5,202,1745.0,1,Lightning,2453947.5,212.0,1800.0,USFS,CA,83.0
Los Padres National Forest,2006,2453938.5,203,1530.0,1,Lightning,2453947.5,212.0,2000.0,USFS,CA,29.0
Los Padres National Forest,2006,2453938.5,203,1630.0,1,Lightning,2453941.5,206.0,1800.0,USFS,CA,111.0
Inyo National Forest,2006,2453912.5,177,1751.0,1,Lightning,2453918.5,183.0,1744.0,USFS,CA,39.0
Los Padres National Forest,2006,2453939.5,204,1140.0,1,Lightning,2453941.5,206.0,1800.0,USFS,CA,111.0
Inyo National Forest,2006,2453931.5,196,1621.0,9,Miscellaneous,2453933.5,198.0,1934.0,USFS,CA,51.0
Inyo National Forest,2006,2453936.5,201,1906.0,1,Lightning,2453938.5,203.0,1300.0,USFS,CA,39.0
Inyo National Forest,2006,2453937.5,202,2043.0,1,Lightning,2453939.5,204.0,1230.0,USFS,CA,39.0
Sierra National Forest,2006,2453952.5,217,1015.0,1,Lightning,2453956.5,221.0,1037.0,USFS,CA,19.0
Six Rivers National Forest,2006,2453940.5,205,1829.0,1,Lightning,2453942.5,207.0,1800.0,USFS,CA,23.0
Stanislaus National Forest,2006,2453913.5,178,1332.0,1,Lightning,2453957.5,222.0,1144.0,USFS,CA,3.0
Sierra National Forest,2006,2453939.5,204,2149.0,1,Lightning,2453941.5,206.0,1838.0,USFS,CA,19.0
Modoc National Forest,2006,2453912.5,177,1605.0,1,Lightning,2453915.5,180.0,1700.0,USFS,CA,49.0
San Bernardino National Forest,2006,2453895.5,160,1249.0,1,Lightning,2453899.5,164.0,1800.0,USFS,CA,71.0
San Bernardino National Forest,2006,2453758.5,23,1232.0,4,Campfire,2453761.5,26.0,1800.0,USFS,CA,71.0
Shasta-Trinity National Forest,2006,2453792.5,57,1200.0,5,Debris Burning,2453798.5,63.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453970.5,235,1830.0,1,Lightning,2453977.5,242.0,1700.0,USFS,CA,93.0
Klamath National Forest,2006,2453960.5,225,1155.0,1,Lightning,2453962.5,227.0,1700.0,USFS,CA,93.0
Inyo National Forest,2006,2453910.5,175,1350.0,1,Lightning,2453914.5,179.0,1630.0,USFS,CA,51.0
Modoc National Forest,2006,2453912.5,177,1717.0,1,Lightning,2453931.5,196.0,1200.0,USFS,CA,49.0
Sierra National Forest,2006,2453895.5,160,1355.0,1,Lightning,2453916.5,181.0,1330.0,USFS,CA,39.0
Sierra National Forest,2006,2453924.5,189,1718.0,1,Lightning,2453926.5,191.0,1800.0,USFS,CA,39.0
Modoc National Forest,2006,2453912.5,177,1845.0,1,Lightning,2453922.5,187.0,800.0,USFS,CA,49.0
Angeles National Forest,2006,2453975.5,240,1037.0,7,Arson,2453978.5,243.0,1800.0,USFS,CA,37.0
Modoc National Forest,2006,2453912.5,177,1909.0,1,Lightning,2453914.5,179.0,1126.0,USFS,CA,49.0
Modoc National Forest,2006,2453912.5,177,2055.0,1,Lightning,2453922.5,187.0,800.0,USFS,CA,49.0
Humboldt-Toiyabe National Forest,2006,2453911.5,176,1725.0,1,Lightning,2453979.5,244.0,1800.0,STATE OR PRIVATE,CA,91.0
Modoc National Forest,2006,2453913.5,178,1300.0,1,Lightning,2453918.5,183.0,1445.0,USFS,CA,49.0
Plumas National Forest,2006,2453922.5,187,1638.0,3,Smoking,2453928.5,193.0,1800.0,USFS,CA,63.0
Modoc National Forest,2006,2453913.5,178,1818.0,1,Lightning,2453915.5,180.0,1800.0,USFS,CA,49.0
Modoc National Forest,2006,2453913.5,178,1029.0,1,Lightning,2453915.5,180.0,1645.0,USFS,CA,49.0
Modoc National Forest,2006,2453913.5,178,1253.0,1,Lightning,2453915.5,180.0,1300.0,USFS,CA,49.0
Angeles National Forest,2006,2453938.5,203,1630.0,1,Lightning,2453979.5,244.0,1200.0,USFS,CA,37.0
Modoc National Forest,2006,2453913.5,178,1835.0,1,Lightning,2453915.5,180.0,1400.0,USFS,CA,49.0
Modoc National Forest,2006,2453914.5,179,1620.0,1,Lightning,2453925.5,190.0,1800.0,USFS,CA,93.0
Modoc National Forest,2006,2453913.5,178,1630.0,1,Lightning,2453915.5,180.0,1500.0,USFS,CA,49.0
Modoc National Forest,2006,2453913.5,178,1630.0,1,Lightning,2453915.5,180.0,1500.0,USFS,CA,49.0
Modoc National Forest,2006,2453915.5,180,1730.0,1,Lightning,2453938.5,203.0,1200.0,USFS,CA,49.0
Modoc National Forest,2006,2453942.5,207,1308.0,1,Lightning,2453951.5,216.0,1540.0,USFS,CA,49.0
Modoc National Forest,2006,2453939.5,204,1748.0,1,Lightning,2453948.5,213.0,1603.0,USFS,CA,49.0
Modoc National Forest,2006,2453942.5,207,1138.0,1,Lightning,2453948.5,213.0,1155.0,USFS,CA,49.0
Modoc National Forest,2006,2453953.5,218,2012.0,1,Lightning,2453955.5,220.0,1400.0,USFS,CA,35.0
Angeles National Forest,2006,2453938.5,203,1534.0,1,Lightning,2453989.5,254.0,1200.0,USFS,CA,37.0
Klamath National Forest,2006,2453940.5,205,1900.0,1,Lightning,2453942.5,207.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,1800.0,1,Lightning,2453943.5,208.0,1600.0,USFS,CA,93.0
Six Rivers National Forest,2006,2453940.5,205,1828.0,1,Lightning,2453953.5,218.0,1800.0,USFS,CA,23.0
Six Rivers National Forest,2006,2453955.5,220,2046.0,1,Lightning,2453963.5,228.0,1300.0,USFS,CA,23.0
Klamath National Forest,2006,2453979.5,244,2115.0,9,Miscellaneous,2453981.5,246.0,2000.0,STATE OR PRIVATE,CA,93.0
Six Rivers National Forest,2006,2453981.5,246,1555.0,5,Debris Burning,2453983.5,248.0,1600.0,STATE OR PRIVATE,CA,15.0
Sequoia National Forest,2006,2453913.5,178,1319.0,1,Lightning,2453922.5,187.0,1700.0,USFS,CA,29.0
Modoc National Forest,2006,2453953.5,218,2000.0,1,Lightning,2453957.5,222.0,1912.0,USFS,CA,93.0
Angeles National Forest,2006,2453903.5,168,214.0,9,Miscellaneous,2453905.5,170.0,1413.0,USFS,CA,37.0
Sierra National Forest,2006,2453936.5,201,1725.0,1,Lightning,2453938.5,203.0,1100.0,USFS,CA,39.0
Modoc National Forest,2006,2453954.5,219,1246.0,1,Lightning,2453957.5,222.0,1500.0,USFS,CA,49.0
Modoc National Forest,2006,2453954.5,219,1050.0,1,Lightning,2453957.5,222.0,1500.0,USFS,CA,49.0
Modoc National Forest,2006,2453954.5,219,1541.0,1,Lightning,2453957.5,222.0,1500.0,USFS,CA,49.0
Humboldt-Toiyabe National Forest,2006,2453991.5,256,1900.0,1,Lightning,2454018.5,283.0,1800.0,USFS,CA,51.0
San Bernardino National Forest,2006,2453914.5,179,1719.0,1,Lightning,2453916.5,181.0,1030.0,USFS,CA,71.0
Plumas National Forest,2006,2453932.5,197,1232.0,9,Miscellaneous,2453947.5,212.0,1900.0,USFS,CA,63.0
Cleveland National Forest,2006,2453939.5,204,605.0,4,Campfire,2453945.5,210.0,1800.0,USFS,CA,73.0
Los Padres National Forest,2006,2453938.5,203,1825.0,1,Lightning,2453946.5,211.0,1800.0,USFS,CA,83.0
Inyo National Forest,2006,2453943.5,208,1559.0,1,Lightning,2453945.5,210.0,1309.0,USFS,CA,27.0
Modoc National Forest,2006,2453954.5,219,1609.0,1,Lightning,2453961.5,226.0,1700.0,USFS,CA,49.0
Klamath National Forest,2006,2453940.5,205,900.0,1,Lightning,2453942.5,207.0,1746.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,930.0,1,Lightning,2453944.5,209.0,1100.0,USFS,CA,93.0
Modoc National Forest,2006,2453938.5,203,1631.0,1,Lightning,2453958.5,223.0,1200.0,USFS,CA,49.0
Klamath National Forest,2006,2453940.5,205,1600.0,1,Lightning,2453947.5,212.0,1100.0,USFS,CA,93.0
Modoc National Forest,2006,2453941.5,206,1330.0,1,Lightning,2453951.5,216.0,1540.0,USFS,CA,49.0
Modoc National Forest,2006,2453942.5,207,1414.0,1,Lightning,2453944.5,209.0,1636.0,USFS,CA,49.0
Modoc National Forest,2006,2453915.5,180,1615.0,1,Lightning,2453920.5,185.0,1051.0,USFS,CA,93.0
Modoc National Forest,2006,2453916.5,181,1006.0,1,Lightning,2453918.5,183.0,1000.0,USFS,CA,35.0
Stanislaus National Forest,2006,2453999.5,264,1445.0,4,Campfire,2454007.5,272.0,1449.0,USFS,CA,109.0
Klamath National Forest,2006,2453989.5,254,700.0,7,Arson,2453992.5,257.0,1700.0,USFS,CA,93.0
Modoc National Forest,2006,2453916.5,181,1845.0,1,Lightning,2453922.5,187.0,800.0,USFS,CA,49.0
Los Padres National Forest,2006,2453911.5,176,2006.0,1,Lightning,2453913.5,178.0,2000.0,USFS,CA,83.0
Modoc National Forest,2006,2453916.5,181,2040.0,1,Lightning,2453921.5,186.0,2000.0,USFS,CA,49.0
Modoc National Forest,2006,2453916.5,181,2043.0,1,Lightning,2453922.5,187.0,800.0,USFS,CA,49.0
Six Rivers National Forest,2006,2453940.5,205,1703.0,1,Lightning,2454026.5,291.0,1800.0,USFS,CA,23.0
Modoc National Forest,2006,2453917.5,182,1750.0,1,Lightning,2453919.5,184.0,1800.0,USFS,CA,49.0
Modoc National Forest,2006,2453917.5,182,1904.0,1,Lightning,2453922.5,187.0,800.0,USFS,CA,49.0
San Bernardino National Forest,2006,2453997.5,262,930.0,7,Arson,2454003.5,268.0,1800.0,USFS,CA,71.0
Mendocino National Forest,2006,2453913.5,178,1415.0,1,Lightning,2453918.5,183.0,1338.0,USFS,CA,103.0
Mendocino National Forest,2006,2453915.5,180,1100.0,1,Lightning,2453929.5,194.0,1239.0,USFS,CA,103.0
Mendocino National Forest,2006,2453912.5,177,1810.0,1,Lightning,2453924.5,189.0,1500.0,USFS,CA,103.0
Mendocino National Forest,2006,2453915.5,180,1200.0,1,Lightning,2453932.5,197.0,800.0,USFS,CA,103.0
Los Padres National Forest,2006,2453939.5,204,1633.0,1,Lightning,2453942.5,207.0,2000.0,USFS,CA,83.0
Klamath National Forest,2006,2453939.5,204,1830.0,1,Lightning,2453942.5,207.0,1800.0,USFS,CA,93.0
Mendocino National Forest,2006,2453940.5,205,1710.0,1,Lightning,2453985.5,250.0,1800.0,USFS,CA,45.0
Tahoe National Forest,2006,2453997.5,262,1354.0,9,Miscellaneous,2454019.5,284.0,1800.0,USFS,CA,91.0
Six Rivers National Forest,2006,2453940.5,205,2222.0,1,Lightning,2454031.5,296.0,1800.0,USFS,CA,93.0
Klamath National Forest,2006,2453940.5,205,730.0,1,Lightning,2453943.5,208.0,1800.0,USFS,CA,93.0
Mendocino National Forest,2006,2453941.5,206,1354.0,1,Lightning,2453943.5,208.0,1800.0,USFS,CA,105.0
Inyo National Forest,2006,2453942.5,207,1000.0,1,Lightning,2453955.5,220.0,1800.0,USFS,CA,107.0
Modoc National Forest,2006,2453938.5,203,1655.0,1,Lightning,2453948.5,213.0,1155.0,USFS,CA,49.0
Inyo National Forest,2006,2453955.5,220,1146.0,1,Lightning,2453968.5,233.0,1400.0,USFS,CA,107.0
Modoc National Forest,2006,2453938.5,203,1815.0,1,Lightning,2453945.5,210.0,1100.0,USFS,CA,49.0
Modoc National Forest,2006,2453940.5,205,1756.0,1,Lightning,2453942.5,207.0,2026.0,USFS,CA,49.0
Angeles National Forest,2006,2453997.5,262,1508.0,4,Campfire,2454003.5,268.0,930.0,USFS,CA,37.0
Modoc National Forest,2006,2453952.5,217,1624.0,1,Lightning,2453957.5,222.0,1127.0,USFS,CA,49.0
Los Padres National Forest,2006,2454030.5,295,900.0,5,Debris Burning,2454033.5,298.0,1800.0,USFS,CA,53.0
Lake Tahoe Basin Management Unit,2006,2453982.5,247,1234.0,7,Arson,2453984.5,249.0,1800.0,USFS,CA,17.0
Los Padres National Forest,2006,2453982.5,247,1415.0,5,Debris Burning,2454038.5,303.0,1800.0,USFS,CA,111.0
Modoc National Forest,2006,2453953.5,218,1302.0,1,Lightning,2453970.5,235.0,1631.0,USFS,CA,49.0
Modoc National Forest,2006,2453953.5,218,1533.0,1,Lightning,2453958.5,223.0,1300.0,USFS,CA,49.0
Modoc National Forest,2006,2453953.5,218,1635.0,1,Lightning,2453955.5,220.0,1454.0,USFS,CA,49.0
Six Rivers National Forest,2006,2453940.5,205,1624.0,1,Lightning,2453963.5,228.0,1600.0,USFS,CA,15.0
Sequoia National Forest,2006,2453941.5,206,1754.0,1,Lightning,2453978.5,243.0,1522.0,USFS,CA,107.0
Sequoia National Forest,2006,2453914.5,179,1135.0,1,Lightning,2453948.5,213.0,1200.0,USFS,CA,107.0
