Country,Location,Region,Happiness,Logged GDP per capita,GDP per capita,Social support_old,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Ivory Coast,CIV,Sub-Saharan Africa,5.306,8.551,5171.923766,0.644,50.114,0.741,-0.016,0.794
Jamaica,JAM,Latin America and Caribbean,6.309,9.186,9759.53466,0.877,67.5,0.89,-0.137,0.884
Japan,JPN,East Asia,5.94,10.611,40578.75773,0.884,75.1,0.796,-0.258,0.638
Jordan,JOR,Middle East and North Africa,4.395,9.182,9720.574494,0.767,67,0.755,-0.167,0.705
Kazakhstan,KAZ,Commonwealth of Independent States,6.152,10.155,25719.37814,0.952,65.2,0.853,-0.069,0.733
Kenya,KEN,Sub-Saharan Africa,4.607,8.361,4276.969598,0.688,60.704,0.779,0.287,0.825
Kuwait,KWT,Middle East and North Africa,6.106,10.817,49861.27857,0.843,66.9,0.867,-0.104,0.736
Kyrgyzstan,KGZ,Commonwealth of Independent States,5.744,8.538,5105.123897,0.893,64.401,0.935,0.119,0.908
Laos,LAO,Southeast Asia,5.03,8.947,7684.802836,0.728,58.968,0.91,0.123,0.658
Latvia,LVA,Central and Eastern Europe,6.032,10.315,30181.96984,0.927,67.1,0.715,-0.162,0.8
Lebanon,LBN,Middle East and North Africa,4.584,9.626,15153.69992,0.848,67.355,0.525,-0.073,0.898
Lesotho,LSO,Sub-Saharan Africa,3.512,7.926,2768.331303,0.787,48.7,0.715,-0.131,0.915
Liberia,LBR,Sub-Saharan Africa,4.625,7.288,1462.642485,0.72,56.498,0.735,0.05,0.85
Libya,LBY,Middle East and North Africa,5.41,9.622,15093.20618,0.827,62.3,0.771,-0.087,0.667
Lithuania,LTU,Central and Eastern Europe,6.255,10.499,36279.20532,0.935,67.906,0.773,-0.203,0.826
Luxembourg,LUX,Western Europe,7.324,11.647,114347.8046,0.908,72.6,0.907,-0.034,0.386
Madagascar,MDG,Sub-Saharan Africa,4.208,7.396,1629.453563,0.686,59.305,0.552,-0.005,0.803
Malawi,MWI,Sub-Saharan Africa,3.6,6.958,1051.528396,0.537,57.948,0.78,0.038,0.729
Malaysia,MYS,Southeast Asia,5.384,10.238,27945.17964,0.817,67.102,0.895,0.125,0.839
Maldives,MDV,South Asia,5.198,9.826,18508.77087,0.913,70.6,0.854,0.024,0.825
Mali,MLI,Sub-Saharan Africa,4.723,7.744,2307.684685,0.724,51.969,0.697,-0.036,0.827
Malta,MLT,Western Europe,6.602,10.674,43217.46608,0.931,72.2,0.927,0.133,0.653
Mauritania,MRT,Sub-Saharan Africa,4.227,8.542,5125.585288,0.795,57.161,0.561,-0.106,0.731
Mauritius,MUS,Sub-Saharan Africa,6.049,10.008,22203.38425,0.905,66.701,0.867,-0.054,0.789
Mexico,MEX,Latin America and Caribbean,6.317,9.859,19129.75012,0.831,68.597,0.862,-0.147,0.799
Moldova,MDA,Commonwealth of Independent States,5.766,9.454,12759.09973,0.857,65.699,0.822,-0.079,0.918
Mongolia,MNG,East Asia,5.677,9.4,12088.38073,0.935,62.5,0.708,0.116,0.856
Montenegro,MNE,Central and Eastern Europe,5.581,9.94,20743.74429,0.858,68.699,0.708,-0.034,0.812
